Level,Code/Description,Code1,Concat1,concat2,concat3,concat4,concat5,concat6,concat8,THE CODE,Code2b,code3b,Code4b,Code5b,Code6b,Code7b,Code8b,Level 1,Code22,Level 2,Code32,Level 3,Code42,Level 4,Level 5,Level 6,Level 7,Level 8,Global,Country 1,Country 2,Country 3,EU/ROW split
4,                01.4D: Honey,C1,C1_C1,C1_C1_C7,C1_C1_C7_C1,,,,,C1_C1_C7_C1,C1,C7,C1,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            06: Sugar,,                01.4D: Honey,,,,,,,,,
4,                10.5B: Lactose,C1,C1_C1,C1_C1_C7,C1_C1_C7_C2,,,,,C1_C1_C7_C2,C1,C7,C2,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            06: Sugar,,                10.5B: Lactose,,,,,,,,,
4,"                10.6C: Glucose, fructose etc",C1,C1_C1,C1_C1_C7,C1_C1_C7_C3,,,,,C1_C1_C7_C3,C1,C7,C3,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            06: Sugar,,"                10.6C: Glucose, fructose etc",,,,,,,,,
4,                10.8C: Sugar & sugar confectionery,C1,C1_C1,C1_C1_C7,C1_C1_C7_C4,,,,,C1_C1_C7_C4,C1,C7,C4,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            06: Sugar,,                10.8C: Sugar & sugar confectionery,,,,,,,,,
3,"            07: Coffee, tea, cocoa etc",C1,C1_C1,C1_C1_C8,,,,,,C1_C1_C8,C1,C8,,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,"            07: Coffee, tea, cocoa etc",,,,,,,,,,,
4,                01.2B: Beverage crops & raw spices,C1,C1_C1,C1_C1_C8,C1_C1_C8_C1,,,,,C1_C1_C8_C1,C1,C8,C1,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,"            07: Coffee, tea, cocoa etc",,                01.2B: Beverage crops & raw spices,,,,,,,,,
4,"                10.8D: Processed tea, coffee, cocoa, chocolate & spices",C1,C1_C1,C1_C1_C8,C1_C1_C8_C2,,,,,C1_C1_C8_C2,C1,C8,C2,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,"            07: Coffee, tea, cocoa etc",,"                10.8D: Processed tea, coffee, cocoa, chocolate & spices",,,,,,,,,
3,            09: Miscellaneous foods,C1,C1_C1,C1_C1_C9,,,,,,C1_C1_C9,C1,C9,,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            09: Miscellaneous foods,,,,,,,,,,,
4,                01.4E: Other edible products of animal origin,C1,C1_C1,C1_C1_C9,C1_C1_C9_C1,,,,,C1_C1_C9_C1,C1,C9,C1,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            09: Miscellaneous foods,,                01.4E: Other edible products of animal origin,,,,,,,,,
4,                10.4B: Margarine & similiar edible fats,C1,C1_C1,C1_C1_C9,C1_C1_C9_C2,,,,,C1_C1_C9_C2,C1,C9,C2,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            09: Miscellaneous foods,,                10.4B: Margarine & similiar edible fats,,,,,,,,,
4,                10.7B: Couscous,C1,C1_C1,C1_C1_C9,C1_C1_C9_C3,,,,,C1_C1_C9_C3,C1,C9,C3,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            09: Miscellaneous foods,,                10.7B: Couscous,,,,,,,,,
4,                10.8F: Food products n.e.s,C1,C1_C1,C1_C1_C9,C1_C1_C9_C4,,,,,C1_C1_C9_C4,C1,C9,C4,,,,,"    0and1: Food, beverages & tobacco",,        0: Food & live animals,,            09: Miscellaneous foods,,                10.8F: Food products n.e.s,,,,,,,,,
2,        1: Beverages & tobacco,C1,C1_C2,,,,,,,C1_C2,C2,,,,,,,"    0and1: Food, beverages & tobacco",,        1: Beverages & tobacco,,,,,,,,,,,,,
3,            11: Beverages,C1,C1_C2,C1_C2_C1,,,,,,C1_C2_C1,C2,C1,,,,,,"    0and1: Food, beverages & tobacco",,        1: Beverages & tobacco,,            11: Beverages,,,,,,,,,,,
4,                11.01: Distilled alcoholic beverages,C1,C1_C2,C1_C2_C1,C1_C2_C1_C1,,,,,C1_C2_C1_C1,C2,C1,C1,,,,,"    0and1: Food, beverages & tobacco",,        1: Beverages & tobacco,,            11: Beverages,,                11.01: Distilled alcoholic beverages,,,,,,,,,
4,                11.02B: Wine,C1,C1_C2,C1_C2_C1,C1_C2_C1_C2,,,,,C1_C2_C1_C2,C2,C1,C2,,,,,"    0and1: Food, beverages & tobacco",,        1: Beverages & tobacco,,            11: Beverages,,                11.02B: Wine,,,,,,,,,
4,                11.03: Cider & other fruit wines,C1,C1_C2,C1_C2_C1,C1_C2_C1_C3,,,,,C1_C2_C1_C3,C2,C1,C3,,,,,"    0and1: Food, beverages & tobacco",,        1: Beverages & tobacco,,            11: Beverages,,                11.03: Cider & other fruit wines,,,,,,,,,
4,                11.04: Other non-distilled fermented beverages,C1,C1_C2,C1_C2_C1,C1_C2_C1_C4,,,,,C1_C2_C1_C4,C2,C1,C4,,,,,"    0and1: Food, beverages & tobacco",,        1: Beverages & tobacco,,            11: Beverages,,                11.04: Other non-distilled fermented beverages,,,,,,,,,
4,                11.05B: Beer,C1,C1_C2,C1_C2_C1,C1_C2_C1_C5,,,,,C1_C2_C1_C5,C2,C1,C5,,,,,"    0and1: Food, beverages & tobacco",,        1: Beverages & tobacco,,            11: Beverages,,                11.05B: Beer,,,,,,,,,
4,                11.07: Soft drinks & bottled wines,C1,C1_C2,C1_C2_C1,C1_C2_C1_C6,,,,,C1_C2_C1_C6,C2,C1,C6,,,,,"    0and1: Food, beverages & tobacco",,        1: Beverages & tobacco,,            11: Beverages,,                11.07: Soft drinks & bottled wines,,,,,,,,,
3,            12: Tobacco,C1,C1_C2,C1_C2_C2,,,,,,C1_C2_C2,C2,C2,,,,,,"    0and1: Food, beverages & tobacco",,        1: Beverages & tobacco,,            12: Tobacco,,,,,,,,,,,
4,                01.1D: Raw tobacco,C1,C1_C2,C1_C2_C2,C1_C2_C2_C1,,,,,C1_C2_C2_C1,C2,C2,C1,,,,,"    0and1: Food, beverages & tobacco",,        1: Beverages & tobacco,,            12: Tobacco,,                01.1D: Raw tobacco,,,,,,,,,
4,                12.0: Tobacco products,C1,C1_C2,C1_C2_C2,C1_C2_C2_C2,,,,,C1_C2_C2_C2,C2,C2,C2,,,,,"    0and1: Food, beverages & tobacco",,        1: Beverages & tobacco,,            12: Tobacco,,                12.0: Tobacco products,,,,,,,,,
1,    2and4: Basic materials,C2,,,,,,,,C2,,,,,,,,    2and4: Basic materials,,,,,,,,,,,,,,,
2,        2: Crude materials,C2,C2_C1,,,,,,,C2_C1,C1,,,,,,,    2and4: Basic materials,,        2: Crude materials,,,,,,,,,,,,,
3,            24: Wood & cork,C2,C2_C1,C2_C1_C1,,,,,,C2_C1_C1,C1,C1,,,,,,    2and4: Basic materials,,        2: Crude materials,,            24: Wood & cork,,,,,,,,,,,
4,                02.2: Wood in the rough,C2,C2_C1,C2_C1_C1,C2_C1_C1_C1,,,,,C2_C1_C1_C1,C1,C1,C1,,,,,    2and4: Basic materials,,        2: Crude materials,,            24: Wood & cork,,                02.2: Wood in the rough,,,,,,,,,
4,                02.3B: Raw cork,C2,C2_C1,C2_C1_C1,C2_C1_C1_C2,,,,,C2_C1_C1_C2,C1,C1,C2,,,,,    2and4: Basic materials,,        2: Crude materials,,            24: Wood & cork,,                02.3B: Raw cork,,,,,,,,,
4,                16.1A: Wood simple worked,C2,C2_C1,C2_C1_C1,C2_C1_C1_C3,,,,,C2_C1_C1_C3,C1,C1,C3,,,,,    2and4: Basic materials,,        2: Crude materials,,            24: Wood & cork,,                16.1A: Wood simple worked,,,,,,,,,
4,                16.2A: Processed & waste cork,C2,C2_C1,C2_C1_C1,C2_C1_C1_C4,,,,,C2_C1_C1_C4,C1,C1,C4,,,,,    2and4: Basic materials,,        2: Crude materials,,            24: Wood & cork,,                16.2A: Processed & waste cork,,,,,,,,,
4,                20.14A: Wood charcoal,C2,C2_C1,C2_C1_C1,C2_C1_C1_C5,,,,,C2_C1_C1_C5,C1,C1,C5,,,,,    2and4: Basic materials,,        2: Crude materials,,            24: Wood & cork,,                20.14A: Wood charcoal,,,,,,,,,
4,                38.1C: Wood waste,C2,C2_C1,C2_C1_C1,C2_C1_C1_C6,,,,,C2_C1_C1_C6,C1,C1,C6,,,,,    2and4: Basic materials,,        2: Crude materials,,            24: Wood & cork,,                38.1C: Wood waste,,,,,,,,,
3,            25: Pulp & waste paper,C2,C2_C1,C2_C1_C2,,,,,,C2_C1_C2,C1,C2,,,,,,    2and4: Basic materials,,        2: Crude materials,,            25: Pulp & waste paper,,,,,,,,,,,
4,                17.1A: Wood pulp,C2,C2_C1,C2_C1_C2,C2_C1_C2_C1,,,,,C2_C1_C2_C1,C1,C2,C1,,,,,    2and4: Basic materials,,        2: Crude materials,,            25: Pulp & waste paper,,                17.1A: Wood pulp,,,,,,,,,
4,                38.1D: Paper waste & scrap,C2,C2_C1,C2_C1_C2,C2_C1_C2_C2,,,,,C2_C1_C2_C2,C1,C2,C2,,,,,    2and4: Basic materials,,        2: Crude materials,,            25: Pulp & waste paper,,                38.1D: Paper waste & scrap,,,,,,,,,
3,            26: Textile fibres,C2,C2_C1,C2_C1_C3,,,,,,C2_C1_C3,C1,C3,,,,,,    2and4: Basic materials,,        2: Crude materials,,            26: Textile fibres,,,,,,,,,,,
4,                01.1F: Fibre crops,C2,C2_C1,C2_C1_C3,C2_C1_C3_C1,,,,,C2_C1_C3_C1,C1,C3,C1,,,,,    2and4: Basic materials,,        2: Crude materials,,            26: Textile fibres,,                01.1F: Fibre crops,,,,,,,,,
4,                01.4G: Shorn greasy wool & other animal hair,C2,C2_C1,C2_C1_C3,C2_C1_C3_C2,,,,,C2_C1_C3_C2,C1,C3,C2,,,,,    2and4: Basic materials,,        2: Crude materials,,            26: Textile fibres,,                01.4G: Shorn greasy wool & other animal hair,,,,,,,,,
4,                10.1D: Pulled greasy wool,C2,C2_C1,C2_C1_C3,C2_C1_C3_C3,,,,,C2_C1_C3_C3,C1,C3,C3,,,,,    2and4: Basic materials,,        2: Crude materials,,            26: Textile fibres,,                10.1D: Pulled greasy wool,,,,,,,,,
4,                10.4D: Cotton linters,C2,C2_C1,C2_C1_C3,C2_C1_C3_C4,,,,,C2_C1_C3_C4,C1,C3,C4,,,,,    2and4: Basic materials,,        2: Crude materials,,            26: Textile fibres,,                10.4D: Cotton linters,,,,,,,,,
4,                13.1A: Processed textile fibres,C2,C2_C1,C2_C1_C3,C2_C1_C3_C5,,,,,C2_C1_C3_C5,C1,C3,C5,,,,,    2and4: Basic materials,,        2: Crude materials,,            26: Textile fibres,,                13.1A: Processed textile fibres,,,,,,,,,
4,                13.9A: Rags & worn out textiles,C2,C2_C1,C2_C1_C3,C2_C1_C3_C6,,,,,C2_C1_C3_C6,C1,C3,C6,,,,,    2and4: Basic materials,,        2: Crude materials,,            26: Textile fibres,,                13.9A: Rags & worn out textiles,,,,,,,,,
4,                14.1A: Worn clothing,C2,C2_C1,C2_C1_C3,C2_C1_C3_C7,,,,,C2_C1_C3_C7,C1,C3,C7,,,,,    2and4: Basic materials,,        2: Crude materials,,            26: Textile fibres,,                14.1A: Worn clothing,,,,,,,,,
4,                20.6A: Unworked man-made fibres,C2,C2_C1,C2_C1_C3,C2_C1_C3_C8,,,,,C2_C1_C3_C8,C1,C3,C8,,,,,    2and4: Basic materials,,        2: Crude materials,,            26: Textile fibres,,                20.6A: Unworked man-made fibres,,,,,,,,,
4,                38.1E: Yarn waste,C2,C2_C1,C2_C1_C3,C2_C1_C3_C9,,,,,C2_C1_C3_C9,C1,C3,C9,,,,,    2and4: Basic materials,,        2: Crude materials,,            26: Textile fibres,,                38.1E: Yarn waste,,,,,,,,,
3,            28: Metal ores & scrap,C2,C2_C1,C2_C1_C4,,,,,,C2_C1_C4,C1,C4,,,,,,    2and4: Basic materials,,        2: Crude materials,,            28: Metal ores & scrap,,,,,,,,,,,
4,                07.1: Iron ores,C2,C2_C1,C2_C1_C4,C2_C1_C4_C1,,,,,C2_C1_C4_C1,C1,C4,C1,,,,,    2and4: Basic materials,,        2: Crude materials,,            28: Metal ores & scrap,,                07.1: Iron ores,,,,,,,,,
4,                07.2: Non-ferrous metal ores & concentrates,C2,C2_C1,C2_C1_C4,C2_C1_C4_C2,,,,,C2_C1_C4_C2,C1,C4,C2,,,,,    2and4: Basic materials,,        2: Crude materials,,            28: Metal ores & scrap,,                07.2: Non-ferrous metal ores & concentrates,,,,,,,,,
4,                20.13B: Roasted iron pyrites,C2,C2_C1,C2_C1_C4,C2_C1_C4_C3,,,,,C2_C1_C4_C3,C1,C4,C3,,,,,    2and4: Basic materials,,        2: Crude materials,,            28: Metal ores & scrap,,                20.13B: Roasted iron pyrites,,,,,,,,,
4,                24.1A: Remelting scrap ingots of iron or steel,C2,C2_C1,C2_C1_C4,C2_C1_C4_C4,,,,,C2_C1_C4_C4,C1,C4,C4,,,,,    2and4: Basic materials,,        2: Crude materials,,            28: Metal ores & scrap,,                24.1A: Remelting scrap ingots of iron or steel,,,,,,,,,
4,                24.4A: Processed non-ferrous metal ores,C2,C2_C1,C2_C1_C4,C2_C1_C4_C5,,,,,C2_C1_C4_C5,C1,C4,C5,,,,,    2and4: Basic materials,,        2: Crude materials,,            28: Metal ores & scrap,,                24.4A: Processed non-ferrous metal ores,,,,,,,,,
4,                38.1G: Other metal waste,C2,C2_C1,C2_C1_C4,C2_C1_C4_C6,,,,,C2_C1_C4_C6,C1,C4,C6,,,,,    2and4: Basic materials,,        2: Crude materials,,            28: Metal ores & scrap,,                38.1G: Other metal waste,,,,,,,,,
3,            2OCM: Other crude materials,C2,C2_C1,C2_C1_C5,,,,,,C2_C1_C5,C1,C5,,,,,,    2and4: Basic materials,,        2: Crude materials,,            2OCM: Other crude materials,,,,,,,,,,,
4,"                21: Hides, skins & furskins",C2,C2_C1,C2_C1_C5,C2_C1_C5_C1,,,,,C2_C1_C5_C1,C1,C5,C1,,,,,    2and4: Basic materials,,        2: Crude materials,,            2OCM: Other crude materials,,"                21: Hides, skins & furskins",,,,,,,,,
5,                    01.4F: Hides & skins of other animals,C2,C2_C1,C2_C1_C5,C2_C1_C5_C1,C2_C1_C5_C1_C1,,,,C2_C1_C5_C1_C1,C1,C5,C1,C1,,,,    2and4: Basic materials,,        2: Crude materials,,            2OCM: Other crude materials,,"                21: Hides, skins & furskins",                    01.4F: Hides & skins of other animals,,,,,,,,
5,"                    10.1C: Hides & skins of cows, goats & sheep",C2,C2_C1,C2_C1_C5,C2_C1_C5_C1,C2_C1_C5_C1_C2,,,,C2_C1_C5_C1_C2,C1,C5,C1,C2,,,,    2and4: Basic materials,,        2: Crude materials,,            2OCM: Other crude materials,,"                21: Hides, skins & furskins","                    10.1C: Hides & skins of cows, goats & sheep",,,,,,,,
5,                    38.1A: Leather waste,C2,C2_C1,C2_C1_C5,C2_C1_C5_C1,C2_C1_C5_C1_C3,,,,C2_C1_C5_C1_C3,C1,C5,C1,C3,,,,    2and4: Basic materials,,        2: Crude materials,,            2OCM: Other crude materials,,"                21: Hides, skins & furskins",                    38.1A: Leather waste,,,,,,,,
